hours_since_quake,three_phase_ok,pattern_collapsed
-16.0,0,
8.000000000000004,0,
32.00000000000001,0,
56.000000000000014,0,
80.00000000000001,0,
104.00000000000001,0,
128.00000000000003,0,
152.00000000000003,0,
176.00000000000003,0,
200.00000000000003,0,
224.00000000000003,0,
248.00000000000006,0,
272.00000000000006,0,
296.00000000000006,0,
320.00000000000006,0,
344.00000000000006,0,
368.00000000000006,0,
392.00000000000006,0,
416.00000000000006,0,
440.00000000000006,0,
464.00000000000006,0,
488.00000000000006,0,
512.0000000000001,0,
536.0000000000001,0,
560.0000000000001,0,
584.0000000000001,0,
608.0000000000001,0,
632.0000000000001,0,
656.0000000000001,0,
680.0000000000001,0,
704.0000000000001,0,
728.0000000000001,0,
752.0000000000001,0,
776.0000000000001,0,
800.0000000000001,0,
824.0000000000001,0,
