storm_name,year,datetime_utc,lat,lon,status
Beryl,2024,2024-06-29T18:00:00Z,9.8,-46.8,TS
Beryl,2024,2024-06-30T00:00:00Z,10.0,-48.2,HU
Beryl,2024,2024-06-30T12:00:00Z,10.6,-51.9,HU
Beryl,2024,2024-07-01T00:00:00Z,11.3,-55.6,HU
Beryl,2024,2024-07-01T15:00:00Z,12.2,-61.1,HU
Beryl,2024,2024-07-02T00:00:00Z,13.8,-64.9,HU
Beryl,2024,2024-07-02T12:00:00Z,15.6,-69.9,HU
Beryl,2024,2024-07-03T00:00:00Z,16.9,-74.3,HU
Beryl,2024,2024-07-03T12:00:00Z,17.3,-76.9,HU
Beryl,2024,2024-07-04T00:00:00Z,18.2,-80.4,HU
Beryl,2024,2024-07-04T12:00:00Z,18.8,-83.8,HU
Beryl,2024,2024-07-05T00:00:00Z,19.4,-86.6,HU
Beryl,2024,2024-07-05T11:05:00Z,20.2,-87.5,landfall
Beryl,2024,2024-07-05T12:00:00Z,20.3,-87.6,HU
Beryl,2024,2024-07-05T18:00:00Z,20.8,-88.8,TS
Beryl,2024,2024-07-06T00:00:00Z,21.4,-89.7,TS
Beryl,2024,2024-07-06T06:00:00Z,22.0,-90.9,TS
Beryl,2024,2024-07-06T12:00:00Z,22.6,-91.9,TS
Beryl,2024,2024-07-06T18:00:00Z,23.5,-92.6,TS
Beryl,2024,2024-07-07T00:00:00Z,24.4,-93.6,TS
Beryl,2024,2024-07-07T06:00:00Z,24.9,-94.3,TS
Beryl,2024,2024-07-07T12:00:00Z,25.5,-94.9,HU
Beryl,2024,2024-07-07T18:00:00Z,26.3,-95.3,HU
Beryl,2024,2024-07-08T00:00:00Z,27.1,-95.6,HU
Beryl,2024,2024-07-08T06:00:00Z,28.2,-95.9,HU
Beryl,2024,2024-07-08T08:40:00Z,28.6,-96.0,landfall
Beryl,2024,2024-07-08T12:00:00Z,29.2,-95.9,HU
Beryl,2024,2024-07-08T18:00:00Z,30.6,-95.5,TS
Beryl,2024,2024-07-09T00:00:00Z,32.1,-94.8,TS
Beryl,2024,2024-07-09T06:00:00Z,33.4,-94.5,TD
Beryl,2024,2024-07-09T12:00:00Z,35.0,-92.4,TD
Beryl,2024,2024-07-09T18:00:00Z,37.0,-90.4,TD
Beryl,2024,2024-07-10T00:00:00Z,38.9,-87.0,Post-Tropical
Milton,2024,2024-10-07T00:00:00Z,22.5,-93.4,HU
Milton,2024,2024-10-07T06:00:00Z,22.2,-92.9,HU
Milton,2024,2024-10-07T12:00:00Z,21.8,-92.2,HU
Milton,2024,2024-10-07T18:00:00Z,21.7,-91.3,HU
Milton,2024,2024-10-08T00:00:00Z,21.8,-90.4,HU
Milton,2024,2024-10-08T06:00:00Z,22.1,-89.3,HU
Milton,2024,2024-10-08T12:00:00Z,22.5,-88.8,HU
Milton,2024,2024-10-08T18:00:00Z,22.5,-88.1,HU
Milton,2024,2024-10-09T00:00:00Z,23.0,-86.9,HU
