alpha,delta_near,source,slug
0.5467774553010432,-0.06014887338127255,synthetic,sim
0.20521770519785862,-0.05966954727827049,synthetic,sim
0.31613242043176093,0.009053666039493466,synthetic,sim
0.0978433601132348,0.0663782817545836,real,flooding_in_central_and_eastern_europe_sept_16_2024
-0.0187885228771998,0.0747654742133128,real,hurricane_john_across_southeastern_guerrero_mexico
0.0822667257418016,0.0845285322756548,real,hurricane_john_southern_mexico_25_september_2024
0.2091651414158485,0.1179022527130344,real,hurricane_milton_across_florida_us
0.1828320289226983,0.0454533432570181,real,moldova_flooding_2024
0.2672111552113404,0.1384680031755251,real,spain_flood
0.3479752777497077,0.2504894683816717,real,the_earthquake_across_central_mexico
1.1346522923352398,-0.1036825312156231,real,the_flooding_across_bagmati_and_koshi_provinces_nepal
0.1691876148186711,0.0617398520428817,real,the_flooding_across_eastern_bangladesh
0.1609104782222367,-0.0781600835658264,real,the_flooding_across_gujarat_india
0.2228386744457222,0.0566336948172924,real,turkiye_earthquake_2023
0.8332010653890054,-0.2739356164808162,real,typhoon_yagi_across_northeastern_vietnam
0.1809235793291555,0.0403005631767364,real,wildfires_in_boise_county_idaho_27_august_2024
