bin_left_km,bin_right_km,bin_center_km,flow_sum,flow_fraction
0.0,10.0,5.0,0.0,0.0
10.0,20.0,15.0,0.0,0.0
20.0,30.0,25.0,0.0,0.0
30.0,40.0,35.0,0.0,0.0
40.0,50.0,45.0,0.0,0.0
50.0,60.0,55.0,239.0,0.07729624838292368
60.0,70.0,65.0,10.0,0.003234152652005175
70.0,80.0,75.0,1125.0,0.36384217335058217
80.0,90.0,85.0,1129.0,0.3651358344113842
90.0,100.0,95.0,589.0,0.1904915912031048
100.0,110.0,105.0,0.0,0.0
110.0,120.0,115.0,0.0,0.0
120.0,130.0,125.0,0.0,0.0
130.0,140.0,135.0,0.0,0.0
140.0,150.0,145.0,0.0,0.0
150.0,160.0,155.0,0.0,0.0
160.0,170.0,165.0,0.0,0.0
170.0,180.0,175.0,0.0,0.0
180.0,190.0,185.0,0.0,0.0
190.0,200.0,195.0,0.0,0.0
200.0,210.0,205.0,0.0,0.0
210.0,220.0,215.0,0.0,0.0
220.0,230.0,225.0,0.0,0.0
230.0,240.0,235.0,0.0,0.0
240.0,250.0,245.0,0.0,0.0
250.0,260.0,255.0,0.0,0.0
260.0,270.0,265.0,0.0,0.0
270.0,280.0,275.0,0.0,0.0
280.0,290.0,285.0,0.0,0.0
290.0,300.0,295.0,0.0,0.0
300.0,310.0,305.0,0.0,0.0
310.0,320.0,315.0,0.0,0.0
320.0,330.0,325.0,0.0,0.0
330.0,340.0,335.0,0.0,0.0
340.0,350.0,345.0,0.0,0.0
350.0,360.0,355.0,0.0,0.0
360.0,370.0,365.0,0.0,0.0
370.0,380.0,375.0,0.0,0.0
380.0,390.0,385.0,0.0,0.0
390.0,400.0,395.0,0.0,0.0
400.0,410.0,405.0,0.0,0.0
410.0,420.0,415.0,0.0,0.0
420.0,430.0,425.0,0.0,0.0
430.0,440.0,435.0,0.0,0.0
440.0,450.0,445.0,0.0,0.0
450.0,460.0,455.0,0.0,0.0
460.0,470.0,465.0,0.0,0.0
470.0,480.0,475.0,0.0,0.0
480.0,490.0,485.0,0.0,0.0
490.0,500.0,495.0,0.0,0.0
